PING 10.10.8.2 (10.10.8.2) 56(84) bytes of data.
64 bytes from 10.10.8.2: icmp_seq=1 ttl=62 time=161 ms
64 bytes from 10.10.8.2: icmp_seq=2 ttl=62 time=162 ms
64 bytes from 10.10.8.2: icmp_seq=3 ttl=62 time=142 ms
64 bytes from 10.10.8.2: icmp_seq=4 ttl=62 time=144 ms
64 bytes from 10.10.8.2: icmp_seq=5 ttl=62 time=165 ms
64 bytes from 10.10.8.2: icmp_seq=6 ttl=62 time=137 ms
64 bytes from 10.10.8.2: icmp_seq=7 ttl=62 time=147 ms
64 bytes from 10.10.8.2: icmp_seq=8 ttl=62 time=156 ms
64 bytes from 10.10.8.2: icmp_seq=9 ttl=62 time=158 ms
64 bytes from 10.10.8.2: icmp_seq=10 ttl=62 time=161 ms
64 bytes from 10.10.8.2: icmp_seq=11 ttl=62 time=154 ms
64 bytes from 10.10.8.2: icmp_seq=12 ttl=62 time=163 ms
64 bytes from 10.10.8.2: icmp_seq=13 ttl=62 time=138 ms
64 bytes from 10.10.8.2: icmp_seq=14 ttl=62 time=153 ms
64 bytes from 10.10.8.2: icmp_seq=15 ttl=62 time=161 ms
64 bytes from 10.10.8.2: icmp_seq=16 ttl=62 time=149 ms
64 bytes from 10.10.8.2: icmp_seq=17 ttl=62 time=160 ms
64 bytes from 10.10.8.2: icmp_seq=18 ttl=62 time=133 ms
64 bytes from 10.10.8.2: icmp_seq=19 ttl=62 time=145 ms
64 bytes from 10.10.8.2: icmp_seq=20 ttl=62 time=158 ms
64 bytes from 10.10.8.2: icmp_seq=21 ttl=62 time=160 ms
64 bytes from 10.10.8.2: icmp_seq=22 ttl=62 time=163 ms
64 bytes from 10.10.8.2: icmp_seq=23 ttl=62 time=137 ms
64 bytes from 10.10.8.2: icmp_seq=24 ttl=62 time=152 ms
64 bytes from 10.10.8.2: icmp_seq=25 ttl=62 time=162 ms
64 bytes from 10.10.8.2: icmp_seq=26 ttl=62 time=128 ms
64 bytes from 10.10.8.2: icmp_seq=27 ttl=62 time=151 ms
64 bytes from 10.10.8.2: icmp_seq=28 ttl=62 time=161 ms
64 bytes from 10.10.8.2: icmp_seq=29 ttl=62 time=141 ms
64 bytes from 10.10.8.2: icmp_seq=30 ttl=62 time=151 ms
64 bytes from 10.10.8.2: icmp_seq=31 ttl=62 time=161 ms
64 bytes from 10.10.8.2: icmp_seq=32 ttl=62 time=160 ms
64 bytes from 10.10.8.2: icmp_seq=33 ttl=62 time=144 ms
64 bytes from 10.10.8.2: icmp_seq=34 ttl=62 time=157 ms
64 bytes from 10.10.8.2: icmp_seq=35 ttl=62 time=155 ms
64 bytes from 10.10.8.2: icmp_seq=36 ttl=62 time=158 ms
64 bytes from 10.10.8.2: icmp_seq=37 ttl=62 time=156 ms
64 bytes from 10.10.8.2: icmp_seq=38 ttl=62 time=154 ms
64 bytes from 10.10.8.2: icmp_seq=39 ttl=62 time=153 ms
64 bytes from 10.10.8.2: icmp_seq=40 ttl=62 time=150 ms

--- 10.10.8.2 ping statistics ---
40 packets transmitted, 40 received, 0% packet loss, time 19532ms
rtt min/avg/max/mdev = 128.357/152.524/165.103/9.248 ms
