second,rx_bps,tx_bps,util_pct
1,720,0,0.0
2,0,0,0.0
3,0,0,0.0
4,560,560,0.0
5,336,336,0.0
6,0,0,0.0
7,0,0,0.0
8,1656,4552,0.0
9,239384,9044464,90.4
10,226608,9882880,98.8
11,205184,9860768,98.6
12,224992,9891632,98.9
13,190048,9901472,99.0
14,194768,9888576,98.9
15,184784,9895264,99.0
16,185968,9892000,98.9
17,185024,9895440,99.0
18,178528,9910160,99.1
19,181360,9897664,99.0
20,191984,9886608,98.9
21,187712,9883408,98.8
22,192560,9909136,99.1
23,169568,9899520,99.0
24,187632,9900320,99.0
25,192176,9906752,99.1
26,181920,9876704,98.8
27,190752,9919792,99.2
28,183824,9894144,98.9
29,176480,9892944,98.9
30,186592,9908480,99.1
31,176800,9883184,98.8
32,186432,9909408,99.1
33,177408,9898464,99.0
34,190496,9899104,99.0
35,201296,9890560,98.9
36,176352,9899232,99.0
37,180048,9892512,98.9
38,185584,9901344,99.0
39,193264,9891264,98.9
40,171072,9892528,98.9
41,177936,9908192,99.1
42,183792,9883568,98.8
43,183120,9890560,98.9
44,183264,9887264,98.9
45,182544,9887808,98.9
46,183360,9908352,99.1
47,174240,9907152,99.1
48,182880,9902560,99.0
49,176736,9892672,98.9
50,186208,9899280,99.0
51,184272,9884992,98.8
52,203872,9870312,98.7
53,204864,9874432,98.7
54,202224,9868128,98.7
55,210576,9876048,98.8
56,211440,9874464,98.7
57,208448,9866544,98.7
58,213392,9886048,98.9
59,206112,9871824,98.7
60,209432,9868136,98.7
61,27384,589208,5.9
62,0,0,0.0
63,0,0,0.0
64,0,0,0.0
65,0,0,0.0
66,0,0,0.0
67,0,0,0.0
68,0,0,0.0
69,0,0,0.0
70,0,0,0.0
