second,rx_bps,tx_bps,util_pct
1,1984,1984,0.0
2,1984,1984,0.0
3,1984,1984,0.0
4,1984,1984,0.0
5,2912,4264,0.0
6,378736,17155136,85.8
7,431280,19709728,98.5
8,425696,19715824,98.6
9,474248,19726472,98.6
10,538856,19847784,99.2
11,392160,19777600,98.9
12,394800,19740736,98.7
13,391632,19762192,98.8
14,393216,19729152,98.6
15,394272,19751792,98.8
16,391632,19761664,98.8
17,415152,19745488,98.7
18,383920,19772384,98.9
19,414384,19767008,98.8
20,386352,19779184,98.9
21,402192,19714832,98.6
22,400080,19743872,98.7
23,397968,19731104,98.7
24,398000,19746544,98.7
25,399024,19745456,98.7
26,408464,19788624,98.9
27,384368,19757664,98.8
28,392960,19749424,98.7
29,393760,19744816,98.7
30,395872,19733360,98.7
31,393760,19759696,98.8
32,400960,19748544,98.7
33,387568,19741808,98.7
34,407152,19785440,98.9
35,395552,19766896,98.8
36,394336,19781936,98.9
37,389008,19752864,98.8
38,391120,19747984,98.7
39,395872,19767584,98.8
40,394816,19733888,98.7
41,392704,19746928,98.7
42,407824,19763984,98.8
43,376336,19776592,98.9
44,424192,19758544,98.8
45,398528,19753000,98.8
46,422800,19725008,98.6
47,427552,19695504,98.5
48,439264,19736096,98.7
49,418048,19740288,98.7
50,423856,19702896,98.5
51,141840,6040248,30.2
52,1984,992,0.0
53,1984,1984,0.0
54,1984,1984,0.0
55,1984,1984,0.0
