second,rx_bps,tx_bps,util_pct
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,1104,0.0
5,56864,848944,4.2
6,53248,1066192,5.3
7,60560,1076432,5.4
8,65248,1054496,5.3
9,62176,1078400,5.4
10,64512,1054832,5.3
11,71360,1054496,5.3
12,82896,1066448,5.3
13,75584,1066448,5.3
14,75584,1054496,5.3
15,68960,1066448,5.3
16,74480,1054496,5.3
17,70064,1066448,5.3
18,59360,1066784,5.3
19,66512,1066448,5.3
20,60992,1066448,5.3
21,68896,1053136,5.3
22,65136,1051776,5.3
23,59616,1063728,5.3
24,60720,1063728,5.3
25,55200,1063728,5.3
26,57712,1063728,5.3
27,57808,1051776,5.3
28,60768,1063728,5.3
29,58512,1051776,5.3
30,58512,1051776,5.3
31,60720,1063728,5.3
32,57408,1063728,5.3
33,60176,1051776,5.3
34,64480,1075680,5.4
35,71360,1051776,5.3
36,66976,1063728,5.3
37,59280,1051776,5.3
38,62928,1075680,5.4
39,57408,1051776,5.3
40,60720,1051776,5.3
41,69520,1062912,5.3
42,61056,1064064,5.3
43,57408,1063728,5.3
44,53888,1051776,5.3
45,59632,1063728,5.3
46,58576,1063728,5.3
47,77120,1055088,5.3
48,68496,1065936,5.3
49,72944,963568,4.8
50,0,0,0.0
