second,rx_bps,tx_bps,util_pct
1,0,0,0.0
2,0,0,0.0
3,0,0,0.0
4,0,0,0.0
5,1104,1104,0.0
6,963792,15256368,76.3
7,969872,20127168,100.6
8,963200,20141840,100.7
9,975344,20129888,100.6
10,1012880,20129888,100.6
11,1013984,20141840,100.7
12,1020608,20117936,100.6
13,1026128,20129888,100.6
14,1066720,20129888,100.6
15,1052624,20140480,100.7
16,1168544,20129888,100.6
17,1143152,20129888,100.6
18,1236576,20128528,100.6
19,1080592,20128528,100.6
20,1758064,20131248,100.7
21,1692256,20129888,100.6
22,1856080,20129088,100.6
23,1613968,20129888,100.6
24,1451424,20127168,100.6
25,1440512,20139120,100.7
26,1129728,20127504,100.6
27,1168032,20139120,100.7
28,1156992,20127168,100.6
29,1014576,20127168,100.6
30,969312,20127168,100.6
31,972624,20139120,100.7
32,966336,20139120,100.7
33,967440,20127504,100.6
34,968208,20139456,100.7
35,969312,20127168,100.6
36,979248,20127168,100.6
37,980352,20139120,100.7
38,1038528,20127168,100.6
39,1199968,20127168,100.6
40,1130224,20127168,100.6
41,991392,20139120,100.7
42,993600,20127168,100.6
43,966000,20139120,100.7
44,960480,20127168,100.6
45,968064,20139120,100.7
46,1052944,20127168,100.6
47,1231952,20139120,100.7
48,979248,20127168,100.6
49,993600,20139120,100.7
50,984768,20127168,100.6
51,1017008,20128272,100.6
52,1608704,19176768,95.9
53,0,1104,0.0
54,0,0,0.0
55,0,0,0.0
